ticket_subject,ticket_description,category,subcategory,device_type,tags
Monitor not displaying image,Monitor remains black even though the computer is on and cable is connected.,hardware,monitor,monitor,"hardware,monitor,r&d,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,marketing,high"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,it,high"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,hr,medium"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,legal,medium"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,it,medium"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,hr,critical"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,finance,critical"
Email signature not displaying correctly,The corporate email signature is not rendering correctly in some email clients.,software,email,desktop,"software,email,logistics,medium"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,production,medium"
Desktop audio not working,No sound output from desktop. Speakers and headphones both affected.,hardware,desktop,desktop,"hardware,desktop,procurement,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,it,medium"
Tablet battery not holding charge,Tablet drains within 2 hours even on low usage. Needs battery replacement.,hardware,tablet,tablet,"hardware,tablet,operations,critical"
Application crashes on login,The business application crashes immediately upon entering credentials.,access,application,desktop,"access,application,sales,high"
VPN drops connection frequently,"VPN disconnects every 10-15 minutes, interrupting remote work.",access,VPN,laptop,"access,VPN,finance,medium"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,production,low"
Antivirus flagging false positive,Antivirus is blocking a known-good application used for financial reporting.,software,antivirus,desktop,"software,antivirus,it,critical"
WiFi dead zone in conference room,There is no WiFi signal in the second-floor conference room. Extender needed.,network,WiFi,tablet,"network,WiFi,procurement,high"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,support,high"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,finance,critical"
Server disk space critically low,One of the production servers is almost out of disk space. Immediate action required.,hardware,server,server,"hardware,server,sales,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,test,desktop,"other,test,logistics,low"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,unicode,desktop,"other,unicode,procurement,medium"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,marketing,high"
Desktop USB ports not working,USB ports on the desktop are not detecting any connected devices.,hardware,desktop,desktop,"hardware,desktop,hr,high"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,executive,high"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,r&d,medium"
Monitor has dead pixels,Several dead pixels are visible on the monitor screen. Replacement needed.,hardware,monitor,monitor,"hardware,monitor,sales,critical"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,hr,medium"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,hr,medium"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,legal,critical"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,sales,critical"
Server reboot required after update,Server requires a scheduled reboot following last night's system update.,hardware,server,server,"hardware,server,operations,medium"
Laptop overheating and shutting down,"My laptop shuts down unexpectedly due to overheating, especially during video calls.",hardware,laptop,laptop,"hardware,laptop,operations,low"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,sales,medium"
Shared mailbox access request,Team member needs access to the shared department mailbox.,software,email,desktop,"software,email,production,medium"
Firewall rule change request,Please add a firewall rule to allow traffic from a new partner IP range.,network,firewall,server,"network,firewall,procurement,critical"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,r&d,medium"
Shared mailbox access request,Team member needs access to the shared department mailbox.,software,email,desktop,"software,email,hr,medium"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,finance,low"
WiFi guest network not working,The guest WiFi network is unreachable. Visitors are unable to connect.,network,WiFi,tablet,"network,WiFi,r&d,medium"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,hr,high"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,sales,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,test,desktop,"other,test,operations,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,production,critical"
WiFi password changed and users locked out,WiFi credentials were changed and users have not received the new password.,network,WiFi,tablet,"network,WiFi,hr,critical"
WiFi guest network not working,The guest WiFi network is unreachable. Visitors are unable to connect.,network,WiFi,tablet,"network,WiFi,marketing,medium"
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,marketing,high"
Security software blocking legitimate app,Security software is incorrectly blocking a required business application.,software,security,mobile,"software,security,executive,high"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,it,medium"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,procurement,medium"
Server memory error logged,Error logs show memory faults on the application server. Needs inspection.,hardware,server,server,"hardware,server,logistics,medium"
Firewall rule change request,Please add a firewall rule to allow traffic from a new partner IP range.,network,firewall,server,"network,firewall,legal,critical"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,logistics,critical"
Monitor not displaying image,Monitor remains black even though the computer is on and cable is connected.,hardware,monitor,monitor,"hardware,monitor,support,medium"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,it,high"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,marketing,medium"
Desktop graphics card failure,Display artifacts and crashes suggest a failing GPU on desktop unit.,hardware,desktop,desktop,"hardware,desktop,sales,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,unicode,desktop,"other,unicode,finance,high"
Server unresponsive,A server is not responding to pings or remote connections. Services may be down.,hardware,server,server,"hardware,server,marketing,low"
WiFi dead zone in conference room,There is no WiFi signal in the second-floor conference room. Extender needed.,network,WiFi,tablet,"network,WiFi,operations,high"
Email attachments not opening,Email attachments are downloading but cannot be opened by any application.,software,email,desktop,"software,email,logistics,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,logistics,medium"
Data loss prevention alert triggered,DLP policy triggered for a file transfer. Please review the alert details.,software,security,mobile,"software,security,support,medium"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,operations,critical"
Unauthorized device detected on network,Network monitoring flagged an unrecognized device on the internal network.,software,security,mobile,"software,security,r&d,high"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,support,critical"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,sales,high"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,sales,medium"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,finance,critical"
Account locked after failed attempts,Account has been locked after multiple failed login attempts. Please unlock.,access,password,desktop,"access,password,sales,medium"
Laptop won't boot up,My laptop is stuck on the boot screen and won't load the OS.,hardware,laptop,laptop,"hardware,laptop,r&d,high"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,finance,critical"
WiFi password changed and users locked out,WiFi credentials were changed and users have not received the new password.,network,WiFi,tablet,"network,WiFi,executive,low"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,operations,high"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,operations,low"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,marketing,critical"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,support,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,unicode,desktop,"other,unicode,executive,high"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,hr,medium"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,general,desktop,"other,general,legal,high"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,it,low"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,executive,critical"
Monitor resolution incorrect,Monitor is stuck at a lower resolution and cannot be changed in display settings.,hardware,monitor,monitor,"hardware,monitor,procurement,medium"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,operations,high"
Account permissions need updating,User's role changed and their account permissions need to be updated accordingly.,access,account,desktop,"access,account,procurement,critical"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,logistics,high"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,marketing,high"
Account locked after failed attempts,Account has been locked after multiple failed login attempts. Please unlock.,access,password,desktop,"access,password,production,low"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,operations,high"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,logistics,medium"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,production,medium"
Server performance degraded,Application response times are slow. Suspected server resource contention.,hardware,server,server,"hardware,server,r&d,high"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,support,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,logistics,medium"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,general,desktop,"other,general,marketing,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,procurement,critical"
Email signature not displaying correctly,The corporate email signature is not rendering correctly in some email clients.,software,email,desktop,"software,email,operations,medium"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,hr,low"
Monitor resolution incorrect,Monitor is stuck at a lower resolution and cannot be changed in display settings.,hardware,monitor,monitor,"hardware,monitor,support,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,sales,medium"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,operations,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,sales,critical"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,legal,high"
Dual monitor setup not working,Second monitor is not detected when connected to docking station.,hardware,monitor,monitor,"hardware,monitor,support,critical"
ERP module missing from dashboard,A required ERP module has disappeared from the user dashboard after an update.,software,ERP,desktop,"software,ERP,sales,high"
ERP module missing from dashboard,A required ERP module has disappeared from the user dashboard after an update.,software,ERP,desktop,"software,ERP,production,low"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,support,critical"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,legal,medium"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,it,medium"
Server performance degraded,Application response times are slow. Suspected server resource contention.,hardware,server,server,"hardware,server,legal,low"
Data loss prevention alert triggered,DLP policy triggered for a file transfer. Please review the alert details.,software,security,mobile,"software,security,r&d,medium"
Departed employee account deactivation,Please disable all accounts for an employee who has left the company.,access,account,desktop,"access,account,support,high"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,operations,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,test,desktop,"other,test,hr,high"
Application crashes on login,The business application crashes immediately upon entering credentials.,access,application,desktop,"access,application,marketing,high"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,production,critical"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,logistics,low"
Monitor has dead pixels,Several dead pixels are visible on the monitor screen. Replacement needed.,hardware,monitor,monitor,"hardware,monitor,marketing,medium"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,legal,high"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,procurement,high"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,marketing,medium"
Printer toner low alert,Printer is displaying a low toner warning. Please arrange a replacement cartridge.,hardware,printer,printer,"hardware,printer,production,medium"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,executive,critical"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,marketing,high"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,r&d,medium"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,finance,high"
Laptop fan making loud noise,The cooling fan on my laptop is very loud and seems to be running at full speed constantly.,hardware,laptop,laptop,"hardware,laptop,operations,medium"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,legal,medium"
Desktop graphics card failure,Display artifacts and crashes suggest a failing GPU on desktop unit.,hardware,desktop,desktop,"hardware,desktop,legal,critical"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,production,medium"
Monitor has dead pixels,Several dead pixels are visible on the monitor screen. Replacement needed.,hardware,monitor,monitor,"hardware,monitor,production,medium"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,it,medium"
Account locked after failed attempts,Account has been locked after multiple failed login attempts. Please unlock.,access,password,desktop,"access,password,marketing,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,logistics,high"
Server disk space critically low,One of the production servers is almost out of disk space. Immediate action required.,hardware,server,server,"hardware,server,production,high"
Printer prints blank pages,The printer produces blank pages instead of the expected document output.,hardware,printer,printer,"hardware,printer,production,critical"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,executive,low"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,legal,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,finance,medium"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,support,medium"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,it,medium"
VPN access needed for contractor,Please provision VPN access for an external contractor starting this week.,access,VPN,laptop,"access,VPN,executive,low"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,finance,medium"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,sales,medium"
Printer offline status,The printer shows as offline despite being powered on and connected to the network.,hardware,printer,printer,"hardware,printer,operations,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,r&d,low"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,it,medium"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,marketing,high"
Application update failed,Last night's application update failed midway. App is now in an inconsistent state.,access,application,desktop,"access,application,r&d,medium"
Application access needed for new employee,Please grant application access to a new team member starting Monday.,access,application,desktop,"access,application,marketing,medium"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,production,high"
Email attachments not opening,Email attachments are downloading but cannot be opened by any application.,software,email,desktop,"software,email,finance,medium"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,executive,medium"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,procurement,medium"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,marketing,high"
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,support,critical"
WiFi interference causing slow speeds,WiFi speeds in the open workspace are very slow due to suspected interference.,network,WiFi,tablet,"network,WiFi,finance,low"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,operations,medium"
Server reboot required after update,Server requires a scheduled reboot following last night's system update.,hardware,server,server,"hardware,server,r&d,high"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,production,high"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,support,critical"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,unicode,desktop,"other,unicode,marketing,low"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,production,medium"
IT equipment inventory request,Need a current list of all IT equipment assigned to the department.,other,general,desktop,"other,general,executive,critical"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,legal,low"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,marketing,medium"
Tablet battery not holding charge,Tablet drains within 2 hours even on low usage. Needs battery replacement.,hardware,tablet,tablet,"hardware,tablet,finance,medium"
IoT sensor offline,An IoT sensor in the server room has gone offline and is not reporting data.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,r&d,high"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,r&d,medium"
Printer calibration needed,Print outputs are misaligned and colors are off. The printer needs calibration.,hardware,printer,printer,"hardware,printer,operations,high"
Firewall rule change request,Please add a firewall rule to allow traffic from a new partner IP range.,network,firewall,server,"network,firewall,r&d,critical"
ERP performance slow during peak hours,"ERP system slows significantly during morning peak hours, impacting productivity.",software,ERP,desktop,"software,ERP,hr,medium"
Desktop not powering on,The desktop PC will not turn on despite power being connected correctly.,hardware,desktop,desktop,"hardware,desktop,production,high"
IT support during office move,Requesting IT support to assist with equipment setup during office relocation.,other,general,desktop,"other,general,production,high"
Application license expired,Users are getting a license expiry message and cannot use the application.,access,application,desktop,"access,application,procurement,low"
Data loss prevention alert triggered,DLP policy triggered for a file transfer. Please review the alert details.,software,security,mobile,"software,security,r&d,critical"
Server disk space critically low,One of the production servers is almost out of disk space. Immediate action required.,hardware,server,server,"hardware,server,hr,high"
IoT device firmware update needed,IoT devices require firmware update to patch a known security vulnerability.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,sales,high"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,legal,medium"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,legal,high"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,executive,high"
Account permissions need updating,User's role changed and their account permissions need to be updated accordingly.,access,account,desktop,"access,account,finance,high"
Password reset request,User is locked out of their account and needs a password reset.,access,password,desktop,"access,password,procurement,medium"
Double-sided printing not working,"Duplex printing is failing, and documents are only printing on one side.",hardware,printer,printer,"hardware,printer,procurement,low"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,finance,low"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,legal,high"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,marketing,medium"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,production,medium"
Laptop screen goes black randomly,The laptop display randomly goes black and requires a restart to recover.,hardware,laptop,laptop,"hardware,laptop,logistics,medium"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,legal,medium"
Server RAID failure alert,RAID controller alert triggered. Possible drive failure on production server.,hardware,server,server,"hardware,server,finance,medium"
Server unresponsive,A server is not responding to pings or remote connections. Services may be down.,hardware,server,server,"hardware,server,marketing,medium"
Tablet cannot join corporate WiFi,The tablet fails to authenticate with the corporate wireless network.,hardware,tablet,tablet,"hardware,tablet,legal,high"
WiFi password changed and users locked out,WiFi credentials were changed and users have not received the new password.,network,WiFi,tablet,"network,WiFi,executive,critical"
Application crashes on login,The business application crashes immediately upon entering credentials.,access,application,desktop,"access,application,hr,high"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,executive,medium"
Printer offline status,The printer shows as offline despite being powered on and connected to the network.,hardware,printer,printer,"hardware,printer,operations,critical"
Scanner feeder jamming frequently,The automatic document feeder is jamming with every batch of pages.,software,scanner,desktop,"software,scanner,r&d,high"
CRM access needed for new sales rep,New sales team member needs access provisioned in the CRM system.,software,CRM,desktop,"software,CRM,marketing,high"
LAN port not working at desk,The LAN port at my workstation is not providing network connectivity.,network,LAN,server,"network,LAN,production,medium"
New employee account setup needed,Please create all required accounts for new employee starting next Monday.,access,account,desktop,"access,account,r&d,low"
ERP login page not loading,The ERP system login page fails to load for users on the office network.,software,ERP,desktop,"software,ERP,sales,medium"
WiFi dead zone in conference room,There is no WiFi signal in the second-floor conference room. Extender needed.,network,WiFi,tablet,"network,WiFi,legal,high"
Monitor has dead pixels,Several dead pixels are visible on the monitor screen. Replacement needed.,hardware,monitor,monitor,"hardware,monitor,r&d,critical"
Desktop not powering on,The desktop PC will not turn on despite power being connected correctly.,hardware,desktop,desktop,"hardware,desktop,support,medium"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,r&d,medium"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,logistics,low"
CRM not syncing with email,The CRM is not pulling in emails from Outlook. Integration appears broken.,software,CRM,desktop,"software,CRM,it,critical"
VPN slow speeds affecting productivity,"Remote users experience very slow VPN speeds, making file access impractical.",access,VPN,laptop,"access,VPN,logistics,high"
Password policy confusion,User is unsure of current password requirements and needs guidance.,access,password,desktop,"access,password,legal,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,general,desktop,"other,general,hr,high"
Monitor resolution incorrect,Monitor is stuck at a lower resolution and cannot be changed in display settings.,hardware,monitor,monitor,"hardware,monitor,procurement,high"
LAN VLAN misconfiguration,"After a network change, devices are not getting correct VLAN assignments.",network,LAN,server,"network,LAN,sales,medium"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,r&d,low"
Email account not syncing on mobile,Work email is not syncing to mobile device. Calendar is also affected.,software,email,desktop,"software,email,production,high"
VPN two-factor authentication issue,2FA prompt is not being received during VPN login attempts.,access,VPN,laptop,"access,VPN,it,high"
WiFi authentication error,Devices get an authentication error when trying to connect to corporate WiFi.,network,WiFi,tablet,"network,WiFi,procurement,critical"
WiFi password changed and users locked out,WiFi credentials were changed and users have not received the new password.,network,WiFi,tablet,"network,WiFi,finance,critical"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,logistics,medium"
VPN client fails to connect,The VPN client returns an authentication error when trying to connect from home.,access,VPN,laptop,"access,VPN,finance,high"
IoT sensor giving incorrect readings,Temperature sensor readings seem unreliable and inconsistent with actual conditions.,hardware,IoT sensor,IoT sensor,"hardware,IoT sensor,logistics,medium"
Antivirus software out of date,Antivirus definitions have not updated in over 30 days on multiple machines.,software,security,mobile,"software,security,marketing,high"
Firewall rule change request,Please add a firewall rule to allow traffic from a new partner IP range.,network,firewall,server,"network,firewall,it,medium"
Email quota exceeded,User's mailbox is full and they cannot receive new emails. Quota increase needed.,software,email,desktop,"software,email,support,critical"
Desktop graphics card failure,Display artifacts and crashes suggest a failing GPU on desktop unit.,hardware,desktop,desktop,"hardware,desktop,sales,medium"
CRM data export failing,Attempting to export CRM reports results in an error. Data cannot be extracted.,software,CRM,desktop,"software,CRM,logistics,high"
Tablet app crashes on launch,The required business app crashes immediately upon opening on this tablet.,hardware,tablet,tablet,"hardware,tablet,logistics,medium"
Laptop keyboard not responding,Several keys on my laptop keyboard have stopped working. Cannot type properly.,hardware,laptop,laptop,"hardware,laptop,executive,medium"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,r&d,high"
Scanner not detected by computer,The document scanner is connected but not recognized by the workstation.,software,scanner,desktop,"software,scanner,r&d,medium"
DNS resolution failing for internal domains,Users cannot resolve internal domain names. External sites work fine.,network,DNS,server,"network,DNS,production,critical"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,unicode,desktop,"other,unicode,legal,high"
Email marked as spam by recipients,Outgoing company emails are being flagged as spam by recipient servers.,software,email,desktop,"software,email,procurement,medium"
Antivirus update failed on workstation,Workstation antivirus failed to update and is showing an error code.,software,antivirus,desktop,"software,antivirus,sales,high"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,legal,low"
LAN speed degraded in building wing,Network throughput is significantly reduced in the east wing of the building.,network,LAN,server,"network,LAN,legal,medium"
ERP data sync not completing,Data synchronization between ERP modules is stalling and not completing.,software,ERP,desktop,"software,ERP,legal,medium"
DNS cache needs flushing,Stale DNS entries are causing users to reach old server addresses.,network,DNS,server,"network,DNS,hr,high"
Antivirus scan causing system slowdown,Scheduled antivirus scans are causing severe system slowdowns during work hours.,software,antivirus,desktop,"software,antivirus,executive,high"
Software license audit request,Please provide a summary of active software licenses for compliance review.,other,unicode,desktop,"other,unicode,operations,high"
Tablet screen cracked,The tablet screen is cracked and touch is unresponsive in affected area.,hardware,tablet,tablet,"hardware,tablet,production,critical"
Printer toner low alert,Printer is displaying a low toner warning. Please arrange a replacement cartridge.,hardware,printer,printer,"hardware,printer,it,medium"
Laptop screen goes black randomly,The laptop display randomly goes black and requires a restart to recover.,hardware,laptop,laptop,"hardware,laptop,support,low"
Laptop docking station not recognized,"When docking my laptop, external monitors and peripherals are not detected.",hardware,laptop,laptop,"hardware,laptop,hr,medium"
Email signature not displaying correctly,The corporate email signature is not rendering correctly in some email clients.,software,email,desktop,"software,email,finance,high"
